Datum;Erster;Hoch;Tief;Schlusskurs;Volumen
2018-08-31;50,104;50,38;50,104;50,171;1.131,00
2018-08-30;50,104;50,29;50,104;50,106;4.592,00
2018-08-29;50,134;50,39;50,101;50,105;5.632,00
2018-08-28;50,20;50,34;50,12;50,34;682,00
2018-08-27;50,272;50,28;50,271;50,271;65,00
2018-08-24;50,281;50,31;50,281;50,31;525,00
2018-08-23;50,271;50,50;50,271;50,31;1.291,00
2018-08-22;50,32;50,32;50,271;50,271;1.395,00
2018-08-21;50,30;50,35;50,25;50,31;1.660,00
2018-08-20;50,27;50,40;50,261;50,40;2.290,00
2018-08-17;50,295;50,38;50,255;50,258;2.933,00
2018-08-16;50,28;50,40;50,251;50,29;3.516,00
2018-08-15;50,45;50,69;50,305;50,33;1.909,00
2018-08-14;50,40;50,50;50,325;50,333;10.781,00
2018-08-13;50,58;50,58;50,302;50,40;4.217,00
2018-08-10;50,28;50,45;50,28;50,45;400,00
2018-08-09;50,433;50,433;50,21;50,22;1.129,00
2018-08-08;50,50;50,50;50,31;50,31;5.305,00
2018-08-07;50,414;50,42;50,414;50,415;2.704,00
2018-08-06;50,41;50,50;50,40;50,50;1.985,00
2018-08-03;50,354;50,528;50,354;50,371;2.102,00
2018-08-02;50,35;50,355;50,35;50,355;641,00
2018-08-01;50,464;50,55;50,264;50,55;1.198,00
2018-07-31;50,59;50,60;50,454;50,454;715,00
2018-07-30;50,40;50,475;50,40;50,46;299,00
2018-07-27;50,251;50,60;50,251;50,361;1.714,00
2018-07-26;50,47;50,475;50,255;50,301;660,00
2018-07-25;50,55;50,55;50,48;50,48;294,00
2018-07-24;50,50;50,55;50,50;50,52;2.850,00
2018-07-23;50,65;50,65;50,501;50,51;2.146,00
2018-07-20;50,454;50,80;50,454;50,80;1.377,00
2018-07-19;50,40;50,55;50,40;50,46;1.701,00
2018-07-18;50,201;50,75;50,201;50,75;841,00
2018-07-17;51,60;51,75;51,31;51,42;2.650,00
2018-07-16;51,10;51,55;51,10;51,55;675,00
2018-07-13;51,10;51,35;50,911;51,054;1.357,00
2018-07-12;50,90;51,39;50,90;51,00;2.104,00
2018-07-11;50,714;51,305;50,714;51,305;708,00
2018-07-10;50,72;50,82;50,72;50,82;1.163,00
2018-07-09;50,42;51,11;50,40;51,10;955,00
2018-07-06;51,11;51,11;51,10;51,10;945,00
2018-07-05;50,93;51,21;50,706;51,02;3.065,00
2018-07-04;50,88;50,914;50,88;50,914;816,00
2018-07-03;51,20;51,595;50,70;51,00;2.194,00
2018-07-02;50,68;51,20;50,68;51,20;1.691,00
2018-06-29;50,904;51,15;50,904;51,15;1.763,00
2018-06-28;50,85;51,09;50,85;50,90;3.721,00
2018-06-27;50,751;50,98;50,751;50,77;2.670,00
2018-06-26;50,564;50,71;50,564;50,71;717,00
2018-06-25;50,83;50,955;50,36;50,95;2.001,00
2018-06-22;50,48;50,71;50,361;50,71;928,00
2018-06-21;50,57;50,60;50,48;50,60;3.168,00
2018-06-20;50,44;50,55;50,44;50,55;2.675,00
2018-06-19;50,50;50,58;50,29;50,425;6.367,00
2018-06-18;50,40;50,41;50,00;50,23;5.874,00
2018-06-15;50,404;50,50;50,404;50,404;873,00
2018-06-14;50,38;50,59;50,321;50,40;1.803,00
