x,qx,lx,Dx,Nx,Sx
0,0.006113,1000000.000000,1000000.000000,38854794.490000,1139528771.292000
1,0.000423,993887.000000,974399.020000,37854794.492000,1100673976.800000
2,0.000343,993467.000000,954889.067000,36880395.473000,1062819182.308000
3,0.000275,993126.000000,935844.648000,35925506.405000,1025938786.835000
4,0.000220,992853.000000,917242.441000,34989661.758000,990013280.430000
5,0.000182,992634.000000,899059.459000,34072419.316000,955023618.673000
6,0.000155,992454.000000,881270.422000,33173359.857000,920951199.357000
7,0.000139,992300.000000,863856.691000,32292089.435000,887777839.499000
8,0.000129,992162.000000,846800.603000,31428232.745000,855485750.064000
9,0.000125,992034.000000,830089.574000,30581432.142000,824057517.319000
10,0.000129,991910.000000,813711.581000,29751342.568000,793476085.178000
11,0.000143,991782.000000,797653.542000,28937630.986000,763724742.610000
12,0.000173,991640.000000,781901.448000,28139977.445000,734787111.624000
13,0.000222,991469.000000,766437.431000,27358075.997000,706647134.179000
14,0.000303,991248.000000,751242.433000,26591638.566000,679289058.182000
15,0.000417,990948.000000,736289.026000,25840396.133000,652697419.617000
16,0.000557,990535.000000,721550.974000,25104107.107000,626857023.483000
17,0.000709,989983.000000,707008.892000,24382556.133000,601752916.376000
18,0.000850,989281.000000,692654.532000,23675547.241000,577370360.243000
19,0.000953,988440.000000,678495.859000,22982892.709000,553694813.002000
20,0.001012,987498.000000,664558.090000,22304396.850000,530711920.293000
21,0.001022,986499.000000,650868.194000,21639838.760000,508407523.443000
22,0.001004,985491.000000,637453.928000,20988970.566000,486767684.683000
23,0.000963,984501.000000,624327.377000,20351516.638000,465778714.116000
24,0.000911,983553.000000,611496.225000,19727189.262000,445427197.478000
25,0.000856,982657.000000,598959.953000,19115693.037000,425700008.216000
26,0.000808,981816.000000,586712.983000,18516733.085000,406584315.179000
27,0.000772,981023.000000,574744.038000,17930020.101000,388067582.094000
28,0.000752,980265.000000,563039.545000,17355276.063000,370137561.993000
29,0.000745,979528.000000,551584.450000,16792236.518000,352782285.930000
30,0.000752,978799.000000,540366.196000,16240652.067000,335990049.413000
31,0.000768,978063.000000,529372.393000,15700285.871000,319749397.345000
32,0.000791,977311.000000,518593.956000,15170913.478000,304049111.474000
